UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,M0,L,297.0242765930187,309.38385187110737,1656.7363898072733,27.772567739511963,120,0,No Failure
2,M1,H,297.74962779653765,309.60732534647394,1501.5077260915202,33.84089016618937,138,0,No Failure
3,M2,M,300.77763782052745,308.96817344927155,1630.9626408729646,21.311020291113763,242,0,No Failure
4,M3,L,297.65225334738795,309.11074783752906,1297.1365906538424,39.26167051001884,102,0,No Failure
5,M4,L,302.2252686104066,310.4343769220284,1528.6772526459642,45.87118687927999,88,0,No Failure
6,M5,L,299.85775941833936,310.1316153732727,1360.1473585232168,26.525750325413064,237,0,No Failure
7,M6,L,300.1711894078891,310.49158650759045,1255.925269384756,40.170202706229475,102,0,No Failure
8,M7,M,299.4432540647842,310.2140143897008,1327.7784243857968,31.953479718235812,23,0,No Failure
9,M8,M,301.54569567708745,310.7043386011476,1391.1045816448282,46.68800835364239,21,0,No Failure
10,M9,M,301.566319775554,310.878213998155,1748.9389054047704,16.855929087010967,170,0,No Failure
11,M10,L,300.6701087038243,308.2582833801339,1385.811920101468,47.11888848048997,178,0,No Failure
12,M11,H,301.12957821181527,309.14569034958566,1245.6919499443554,21.8224340254698,239,0,No Failure
13,M12,M,299.57582066015914,309.76862404250994,1526.2954844993337,37.90059653776606,176,0,No Failure
14,M13,L,301.0844060138181,309.9773224745127,1505.8361321355349,32.91081883517301,121,0,No Failure
15,M14,L,299.3242444490524,309.329909426182,1401.5893975979604,36.39297073191138,237,0,PWF
16,M15,L,300.0044632443248,310.91202367098833,1467.7553068307748,24.70609243222566,119,0,No Failure
17,M16,L,299.4507125012674,311.9799483682906,1695.2454171993143,56.60137640513781,21,0,No Failure
18,M17,L,299.0855629213616,310.1861619555817,1634.1411530798352,27.13436922389663,78,0,No Failure
19,M18,L,298.62177640455644,310.0843410321982,1616.8460413747462,27.923463940242744,17,0,No Failure
20,M19,L,300.9353802077178,310.8494562551043,1263.264243095954,57.948205850855175,43,0,No Failure
21,M20,M,302.6212118256269,308.1341602447966,2077.3096123430646,43.22701636075664,108,0,No Failure
22,M21,L,302.34220394333914,310.0284689404384,1710.2504420548444,27.457434765394016,31,0,No Failure
23,M22,L,297.48686932810915,310.9790358254675,1603.4057126381745,38.712123240961546,185,0,No Failure
24,M23,L,302.57840610281374,309.3568460027989,1267.137645120558,37.64270530714201,55,0,No Failure
25,M24,L,299.36368299676417,308.77343942009804,1689.5460225468214,23.123491624253692,227,0,No Failure
26,M25,M,301.20146603029116,309.8141943899002,1399.7742979401344,32.41737405981771,73,0,No Failure
27,M26,L,298.18756933590555,309.9393145667981,1461.145839072807,39.73619288124699,8,0,No Failure
28,M27,L,300.283959827748,309.09134771808453,1163.8441447881435,52.664179058375524,190,0,No Failure
29,M28,L,300.6274463657938,312.09616127605096,1251.703382811898,38.1117015677397,235,0,No Failure
30,M29,L,297.0307904161607,309.5213036189921,1587.709299765427,38.863547923859926,88,0,No Failure
31,M30,M,301.21653433268835,308.84634064857346,1701.246935054098,31.848333290398006,120,0,No Failure
32,M31,L,302.6918700156766,309.9063786809294,1636.980883959007,50.958907812082344,131,0,No Failure
33,M32,L,299.6507041086367,310.9078606377045,1630.1637993485897,49.02321751500951,37,0,No Failure
34,M33,H,302.72033626165603,310.01741424899825,1487.0467086080587,47.893347729815176,237,0,No Failure
35,M34,H,299.6206130130952,310.485593920044,1418.6585969267576,41.11838865069582,99,1,No Failure
36,M35,M,301.69916906209323,309.12848940566687,1557.7790287130788,24.014264380963233,249,0,RNF
37,M36,L,295.5628600680978,311.4876884464035,1664.2816646200547,50.86669898843035,41,0,No Failure
38,M37,L,304.83755555862695,310.5617110279184,1500.9724509867183,40.573297479377814,228,0,No Failure
39,M38,M,302.9909164904859,311.0477015688776,1742.050403982681,36.91408478513656,230,0,No Failure
